"store_id","brandid","brandName","categoryid","categoryName","isDeleted","plazaName","plazaUnitid","storeName","brand_name","category_name","is_deleted","plaza_name","plaza_unitid","store_name"
"BJTZ000404","1021777","绝味鸭脖","102","餐饮美食","0","北京通州","超B1012","绝味鸭脖",,,"0",,,
"BJTZ000358","1021953","范可儿","103","服装服饰","0","北京通州","2020","范可儿",,,"0",,,
"BJTZ0237","1021994","T+","104","生活精品","1","北京通州","1013","T+",,,"0",,,
"BJTZ0314","1022004","NBA","104","生活精品","0","北京通州","3023","NBA",,,"0",,,
"BJTZ0317","1022048","阪织屋","104","生活精品","0","北京通州","2029A","阪织屋",,,"0",,,
"BJTZ0231","1022116","巧虎","1000290","体验业态","1","北京通州","3039A","巧虎",,,"0",,,
"BJTZ000360","1022160","一品焖锅","102","餐饮美食","0","北京通州","4025B","一品焖锅",,,"0",,,
"BJTZ0229","1022238","八布小米","102","餐饮美食","1","北京通州","4019B","八布小米",,,"0",,,
"BJTZ0235","1022238","八布小米","102","餐饮美食","1","北京通州","4019C,4019B","八布小米",,,"0",,,
"BJTZ000365","1022571","大娘水饺","102","餐饮美食","0","北京通州","4020B","大娘水饺",,,"0",,,
"BJTZ0265","1022820","和府捞面","102","餐饮美食","1","北京通州","B1001","和府捞面",,,"0",,,
"BJTZ000370","1022820","和府捞面","102","餐饮美食","0","北京通州","超B1001","和府捞面",,,"0",,,
"BJTZ0267","1023122","穿巷","102","餐饮美食","0","北京通州","4019B,4019C","穿巷",,,"0",,,
"BJTZ000420","1023142","回力","104","生活精品","0","北京通州","3031","回力",,,"0",,,
"BJTZ0238","1023539","OUMUNI CHICKEN","102","餐饮美食","1","北京通州","B1010","OUMUNI CHICKEN",,,"0",,,
"BJTZ0236","1023546","G-MU","1000285","儿童业态","1","北京通州","3031","G-MU",,,"0",,,
"BJTZ0318","1023755","Jingcl","104","生活精品","0","北京通州","2029B","Jingcl",,,"0",,,
"BJTZ0240","1023863","PUMPKIN CARRIAGE","103","服装服饰","1","北京通州","30,583,059","PUMPKIN CARRIAGE",,,"0",,,
"BJTZ0316","1023871","Ms.Flora","104","生活精品","1","北京通州","2028B","Ms.Flora",,,"0",,,
"BJTZ0201","1023930","MOVE UP","103","服装服饰","1","北京通州","2017B","MOVE UP",,,"0",,,
"BJTZ0243","1024015","马迭尔冰棍","102","餐饮美食","1","北京通州","B1019A","马迭尔冰棍",,,"0",,,
"BJTZ0271","1024050","Nike Kicks Lounge","104","生活精品","1","北京通州","1005B","Nike Kicks Lounge",,,"0",,,
"BJTZ0285","1024050","Nike Kicks Lounge","104","生活精品","0","北京通州","1005A,1005B","Nike Kicks Lounge",,,"0",,,
"BJTZ0329","1024378","O‘fir","104","生活精品","0","北京通州","2030A","O‘fir",,,"0",,,
"BJTZ0246","1024762","万达五洲","1000290","体验业态","1","北京通州","3033","万达五洲",,,"0",,,
"BJTZ0244","1024763","台品味","102","餐饮美食","1","北京通州","B1013","台品味",,,"0",,,
"BJTZ0245","1024793","妙食汇","102","餐饮美食","1","北京通州","B1018B","妙食汇",,,"0",,,
"BJTZ0347","1024842","小米之家","104","生活精品","0","北京通州","10,581,059","小米之家",,,"0",,,
"BJTZ0327","1025095","华为","104","生活精品","0","北京通州","3030A","华为",,,"0",,,
"BJTZ0259","1026172","芳叔","102","餐饮美食","1","北京通州","B1020A","芳叔",,,"0",,,
"BJTZ0269","1026187","井村禾昀","102","餐饮美食","1","北京通州","4006B","井村禾昀",,,"0",,,
"BJTZ0253","1026188","韩时烤肉","102","餐饮美食","1","北京通州","B1002","韩时烤肉",,,"0",,,
