NodeID,StoreName,DEFAULTSTARTDATE,DEFAULTEXPIRYDATE,idx,PlazaUnitID,new_category
2S-25,Mini Peace,2014-11-29 00:00:00,2020-06-30 00:00:00,102,2022A,亲子
2S-26,gxg.kids,2014-11-29 00:00:00,2020-06-30 00:00:00,113,2022B,亲子
2S-27,jnby by JNBY,2017-08-29 00:00:00,2020-08-28 00:00:00,114,2023,亲子
2S-28,Little MO&CO.,2017-11-29 00:00:00,2020-11-28 00:00:00,166,2025A,亲子
2S-29,Hello kitty,2017-11-29 00:00:00,2020-11-28 00:00:00,115,2025B,亲子
2S-30,kids land,2014-11-29 00:00:00,2019-10-28 00:00:00,17,2056,亲子
2S-31,The Green Party,2014-11-29 00:00:00,2021-08-28 00:00:00,10,2057,杂品集合
2S-32,屈臣氏,2014-11-29 00:00:00,2022-11-28 00:00:00,39,2058,美妆护肤
2S-33,KFC,2014-11-29 00:00:00,2024-11-28 00:00:00,92,2026,休闲快餐与饮品
2S-34,万达宝贝王,2014-11-29 00:00:00,2034-11-28 00:00:00,61,娱乐楼2FA,亲子
2S-35,指。秀美甲,2014-11-29 00:00:00,2021-08-28 00:00:00,158,2027,美妆护肤
2S-36,Ooh Dear,2018-06-01 00:00:00,2021-02-28 00:00:00,120,2028A,配饰珠宝
2S-37,萱子,2019-10-29 00:00:00,2022-10-28 00:00:00,107,2028B,配饰珠宝
2S-38,阪织屋,2017-08-29 00:00:00,2020-08-28 00:00:00,29,2029A,家居家用
2S-39,Jingcl,2017-08-29 00:00:00,2020-08-28 00:00:00,81,2029B,配饰珠宝
2S-40,O‘fir,2017-08-29 00:00:00,2020-08-28 00:00:00,132,2030A,配饰珠宝
2S-41,AOJO,2017-08-29 00:00:00,2020-08-28 00:00:00,50,2030B,配饰珠宝
2S-42,LILY,2014-11-29 00:00:00,2020-06-30 00:00:00,40,2031,女装
2S-43,Peace bird(F),2014-11-29 00:00:00,2020-08-28 00:00:00,75,2032A,女装
2S-44,林清轩,2014-11-29 00:00:00,2021-10-28 00:00:00,159,2032B,美妆护肤
2S-45,TUTUANNA,2017-08-29 00:00:00,2020-08-28 00:00:00,97,2033,家居家用
2S-46,宝岛眼镜,2019-10-29 00:00:00,2022-10-28 00:00:00,126,2035,配饰珠宝
2S-47,LALABOBO,2018-06-01 00:00:00,2020-08-28 00:00:00,119,2036,女装
2S-48,美宝莲,2017-08-29 00:00:00,2020-08-28 00:00:00,98,2037,美妆护肤
2S-49,AFU,2014-11-29 00:00:00,2020-06-30 00:00:00,160,2038,美妆护肤
2S-50,麦檬,2017-08-29 00:00:00,2020-08-28 00:00:00,76,2039,女装
2S-51,Naivee,2017-08-29 00:00:00,2020-08-28 00:00:00,77,2050,女装
2S-54,必胜客(2楼),2014-11-29 00:00:00,2024-11-28 00:00:00,137,2055B-1002,休闲快餐与饮品
3S-3,韩潮品象,2014-11-29 00:00:00,2024-01-31 00:00:00,100,3001A-3001B,美妆护肤
3S-4,酷乐潮玩,2014-11-29 00:00:00,2021-08-28 00:00:00,12,3002,杂品集合
3S-5,优禾生活,2017-08-29 00:00:00,2021-08-28 00:00:00,67,3003,杂品集合
3S-6,品真阁,2014-11-29 00:00:00,2021-08-28 00:00:00,66,3005-3006,配饰珠宝
3S-7,Smile Froyo,2017-08-29 00:00:00,2020-08-28 00:00:00,152,3007,休闲快餐与饮品
3S-8,NORTH LATITUDE 30,2014-11-29 00:00:00,2020-08-28 00:00:00,68,3008,男装
3S-9,Mark fairwhale JEANS,2019-08-29 00:00:00,2021-08-28 00:00:00,74,3009,男装
3S-10,dealuna,2014-11-29 00:00:00,2020-06-30 00:00:00,65,3010,男装
3S-11,海澜之家,2016-04-01 00:00:00,2021-03-31 00:00:00,36,3011-3012,男装
3S-12,New Era,2019-08-13 00:00:00,2022-08-12 00:00:00,162,3013,配饰珠宝
3S-13,LEE,2019-08-01 00:00:00,2022-07-31 00:00:00,156,3015,潮流时尚
3S-14,peace bird(M),2014-11-29 00:00:00,2021-08-28 00:00:00,138,3016,男装
3S-15,CROQUIS,2014-11-29 00:00:00,2021-08-28 00:00:00,2,3017,男装
3S-16,Cabbeen Urban,2014-11-29 00:00:00,2021-08-28 00:00:00,71,3018,男装
3S-17,SELECTED,2014-11-29 00:00:00,2022-06-28 00:00:00,4,3019,男装
3S-18,PANCOAT,2017-08-29 00:00:00,2020-08-28 00:00:00,47,3020,潮流时尚
3S-19,BOYLONDON,2018-12-01 00:00:00,2020-11-30 00:00:00,5,3021,潮流时尚
3S-20,智蜂巢,2018-06-01 00:00:00,2020-08-28 00:00:00,64,3022,家居家用
